sched,carga,pathloss,alpha,seed,jfi_slots,jfi_throughput,jfi_win,starv_p95,starv_max,throughput_aggregate_bps,throughput_mean_per_ue_bps,thr_5pct,nunca,gini_slots,gini_throughput,slots_vec,thr_vec,j_beta_-3.0,j_beta_-2.0,j_beta_-1.0,j_beta_+0.0,j_beta_+0.5,j_beta_+0.9
MaxCI,8,True,4.0,6,0.5444303037746877,0.5172928371882565,0.5292069123087331,22.0,3965,91000535.31640625,11375066.914550781,191538.42441406252,0,0.4812749999999999,0.5006472742068122,"1223,67,2018,3784,6,1281,572,1049","10771958.000,475797.438,18342318.000,36279884.000,38475.879,11314604.000,4743686.000,9033812.000",0.4409169051845855,0.4805103416176292,0.5444303037746877,0.6502897716778,0.745045038545972,0.9179168046475292
PF,8,True,4.0,6,0.9987209979411966,0.9496402168458293,0.9863647336539255,18.0,35,80329523.5,10041190.4375,6195856.125,0,0.018874999999999975,0.12484061899732302,"1265,1204,1284,1311,1158,1264,1253,1261","10950833.000,7260119.000,11885969.000,13185910.000,5622791.500,11043524.000,9772504.000,10607873.000",0.9975010943541975,0.9981037198714736,0.9987209979411965,0.9993530623817437,0.9996746685828912,0.9999346355180597
RR,8,True,4.0,7,1.0,0.5693596444028821,1.0,8.0,8,32119950.3125,4014993.7890625,1037751.678125,0,0.0,0.44536734256700905,"1250,1250,1250,1250,1250,1250,1250,1250","11600445.000,1157188.000,1560380.250,6202798.500,1804092.250,973439.812,2598219.000,6223387.500",0.9999999999999999,1.0,1.0,0.9999999999999998,1.0000000000000002,1.0000000000000002
MaxCI,8,True,4.0,7,0.17765458876970588,0.16371131583984022,0.17798231891253763,15.0,3240,95683027.8828125,11960378.485351562,0.0,2,0.8101,0.8253039639184658,"8305,0,3,831,6,0,20,835","83147080.000,0.000,10576.840,6178413.000,22087.496,0.000,98669.047,6226201.500",0.160113467430244,0.16499195192739724,0.17765458876970586,0.22496071918770608,0.31011311616640774,0.5831372040348353
PF,8,True,4.0,7,0.9888694437601467,0.6680605748676927,0.9728339918085046,20.0,40,54148746.25,6768593.28125,2259815.575,0,0.056275000000000075,0.3737317758072747,"1526,1129,1161,1347,1169,1120,1211,1337","16437487.000,2460454.000,3387358.500,10395766.000,3815989.750,2151779.500,5150662.500,10349249.000",0.9769976951984753,0.9830049130695114,0.9888694437601467,0.9945466285514124,0.9973032207326366,0.9994655880996671
RR,8,True,4.0,8,1.0,0.2540158664045599,1.0,8.0,8,17622689.46875,2202836.18359375,137850.1109375,0,0.0,0.7084924183137107,"1250,1250,1250,1250,1250,1250,1250,1250","2481515.000,192892.141,1861175.500,137799.109,137944.828,181397.328,687520.562,11942445.000",0.9999999999999999,1.0,1.0,0.9999999999999998,1.0000000000000002,1.0000000000000002
MaxCI,8,True,4.0,8,0.1313668604121174,0.12715113031185254,0.13145857038168735,1.0,2535,95276028.57189941,11909503.571487427,0.0,3,0.8665,0.8722360886171991,"162,1,78,0,0,0,6,9753","578947.625,789.409,223793.875,0.000,0.000,0.000,7881.663,94464616.000",0.1292386369922655,0.12977814744837204,0.1313668604121174,0.14298290981114076,0.1914766795530016,0.44720300246335115
PF,8,True,4.0,8,0.9738231658663917,0.30358535323213465,0.9524647677693143,21.0,46,31029193.5,3878649.1875,336441.1578125,0,0.07790000000000008,0.6627666159068073,"1334,1111,1293,1113,1117,1101,1186,1745","5202632.000,486214.719,3837312.500,336117.156,337042.875,440819.500,1646810.750,18742244.000",0.9429260791915262,0.9588246191780788,0.9738231658663918,0.9876037315604951,0.9939795931260038,0.9988244378749984
RR,8,True,4.0,9,1.0,0.4410841855223391,1.0,8.0,8,28893325.0,3611665.625,598752.425,0,0.0,0.5440868727898225,"1250,1250,1250,1250,1250,1250,1250,1250","10219597.000,2006577.125,10911885.000,2488374.500,485407.375,809250.375,886356.375,1085877.250",0.9999999999999999,1.0,1.0,0.9999999999999998,1.0000000000000002,1.0000000000000002
MaxCI,8,True,4.0,9,0.2496154424493625,0.24851917416426725,0.24710683479629403,5.0,8214,98253781.71826172,12281722.714782715,0.0,3,0.7592749999999999,0.7608970887249007,"4564,5,5408,21,0,0,0,2","44584108.000,15335.878,53552892.000,95864.422,0.000,0.000,0.000,5581.418",0.24743689760029647,0.2483987931833173,0.24961544244936257,0.25396395116785075,0.278740667822502,0.47086332689423055
PF,8,True,4.0,9,0.9831994032215591,0.5178106338277484,0.9673138896338316,20.0,45,48059956.875,6007494.609375,1347325.65,0,0.06717499999999998,0.47971385280451306,"1507,1208,1538,1243,1097,1126,1137,1144","15521500.000,4153868.250,16154906.000,4918668.500,1115072.125,1778653.625,2022718.875,2394569.500",0.9653711864811801,0.9743453030569761,0.9831994032215591,0.9917911363748653,0.9959498522886384,0.999199182231371
RR,8,True,4.0,10,1.0,0.5825784875739569,1.0,8.0,8,29984618.75,3748077.34375,1545287.0875,0,0.0,0.3810728333839495,"1250,1250,1250,1250,1250,1250,1250,1250","11756190.000,3330570.750,1667449.875,1479507.125,1825256.250,2258688.000,4471711.500,3195245.250",0.9999999999999999,1.0,1.0,0.9999999999999998,1.0000000000000002,1.0000000000000002
MaxCI,8,True,4.0,10,0.14424572307392206,0.13523308434925393,0.1444146910209403,13.449999999998909,2355,95168217.45605469,11896027.182006836,26397.070654296876,0,0.8424750000000001,0.8582809196392254,"9299,132,14,5,12,34,394,110","91464856.000,677238.188,46944.688,15335.847,46939.344,136757.828,2250577.250,529568.312",0.1377192156994627,0.13939209090430632,0.14424572307392208,0.1759930791157651,0.29464613458011596,0.7581809430851427
