sched,carga,pathloss,alpha,seed_count,jfi_slots_mean,jfi_slots_std,jfi_slots_ci95,jfi_throughput_mean,jfi_throughput_std,jfi_throughput_ci95,jfi_win_mean,jfi_win_std,jfi_win_ci95,starv_p95_mean,starv_p95_std,starv_p95_ci95,starv_max_mean,starv_max_std,starv_max_ci95,throughput_aggregate_bps_mean,throughput_aggregate_bps_std,throughput_aggregate_bps_ci95,throughput_mean_per_ue_bps_mean,throughput_mean_per_ue_bps_std,throughput_mean_per_ue_bps_ci95,thr_5pct_mean,thr_5pct_std,thr_5pct_ci95,nunca_mean,nunca_std,nunca_ci95,gini_slots_mean,gini_slots_std,gini_slots_ci95,gini_throughput_mean,gini_throughput_std,gini_throughput_ci95,j_beta_-3.0_mean,j_beta_-3.0_std,j_beta_-3.0_ci95,j_beta_-2.0_mean,j_beta_-2.0_std,j_beta_-2.0_ci95,j_beta_-1.0_mean,j_beta_-1.0_std,j_beta_-1.0_ci95,j_beta_+0.0_mean,j_beta_+0.0_std,j_beta_+0.0_ci95,j_beta_+0.5_mean,j_beta_+0.5_std,j_beta_+0.5_ci95,j_beta_+0.9_mean,j_beta_+0.9_std,j_beta_+0.9_ci95
MaxCI,4,True,2.5,50,0.5688227999966979,0.2111639773871155,0.05853166829827884,0.5371022807046215,0.21208234134317255,0.058786225799601535,0.554702111226999,0.1942917409153111,0.05385492295166445,11.845,4.390065896023495,1.216864183054132,676.8,1445.9329874104237,400.7921760513795,81687229.2963269,1542165.8192135037,427466.5561241505,20421807.324081726,385541.45480337593,106866.63903103763,4404481.529239563,4424186.763529726,1226322.0049972327,0.04,0.28284271247461895,0.07839999999999998,0.454654,0.18303485138193812,0.050734672365411015,0.48379745971235094,0.18499376429052802,0.05127765532116679,0.5152785178135022,0.19733093975083008,0.05469734588920459,0.534294234280837,0.20381270591910144,0.05649399980737148,0.5688227999966979,0.21116397738711548,0.058531668298278834,0.6490246093442157,0.2118724743943904,0.05872805364929026,0.744480276911334,0.19075277090274764,0.052873970511499065,0.915020812309164,0.1057490790190537,0.02931214922441313
MaxCI,4,True,3.0,50,0.527021165596941,0.20582156983739264,0.05705082847662051,0.4970752920264806,0.2045180196605036,0.05668950280210001,0.515642423631619,0.1906860162497238,0.052855467065710135,11.08,4.6547759103430755,1.2902380555540904,631.66,988.1206571371862,273.893072378547,82047709.97699097,1573510.1820406758,436154.77023491997,20511927.494247742,393377.54551016894,109038.69255872999,3469181.8539445186,4029304.3078650786,1116866.1726257817,0.14,0.5349041493385445,0.14826786570258574,0.493076,0.1794457775075973,0.049739831843318476,0.5209676556849844,0.1795562724525503,0.04977045947946481,0.4792863681299914,0.18887255331781938,0.05235280078657075,0.49606106988720255,0.19621275638543187,0.05438740127341363,0.527021165596941,0.2058215698373926,0.057050828476620505,0.6024292036063134,0.21345474134107595,0.059166635670848546,0.698882185197669,0.20083470075926624,0.0556685388913437,0.8829559893830353,0.1446092479248213,0.0400836384933317
MaxCI,4,True,3.5,50,0.49497475468535745,0.19977903127414018,0.05537592223910696,0.4668893677304075,0.19672318135473513,0.05452888385658948,0.48540886438247616,0.18607283121063928,0.051576757411500175,10.325,4.896440293827793,1.357224005092748,937.22,1444.5320446993433,400.4038545436844,82348569.70538528,1569021.0054373622,434910.4339654063,20587142.42634632,392255.25135934056,108727.60849135158,2801740.6584968264,3684005.1703479686,1021154.1348487055,0.2,0.6388765649999399,0.17708754896942924,0.5228349999999999,0.17520915758904052,0.04856550071521965,0.5492508271014741,0.1737648549084246,0.04816516043715628,0.4523128788714012,0.1813465285530421,0.050266693153122405,0.4672124267521294,0.1889687247359548,0.052379458143643344,0.49497475468535745,0.19977903127414018,0.05537592223910696,0.5649637023591498,0.21206369005324224,0.058781055925795196,0.660239544291358,0.2064482755039646,0.057224542424663814,0.8576658489619632,0.1632458720866999,0.04524944715606116
MaxCI,4,True,4.0,50,0.4691769036684611,0.19280229020364326,0.05344206827786678,0.4429078509123779,0.18848673785807982,0.052245858197246316,0.4610301690911482,0.18031545188804776,0.04998089328284004,9.29,5.395425121795127,1.4955355428741905,823.22,1117.661393906299,309.7999326750088,82599534.88066451,1542850.416582383,427656.31683338195,20649883.720166128,385712.60414559575,106914.07920834549,2298241.0048930054,3362246.788014641,931967.2615005136,0.26,0.6942915931555924,0.1924478111073233,0.547003,0.1699541479010604,0.04710888634487553,0.5718226786052785,0.16732372054165418,0.046379769079759665,0.43065011459611924,0.1735275122503518,0.04809937240878494,0.4440587394017656,0.18121851678617545,0.05023121010166055,0.46917690366846104,0.19280229020364326,0.05344206827786678,0.5338170863880694,0.20849672058454308,0.057792342432351,0.6262030351614393,0.20869694481345905,0.057847841757080534,0.8328378761066156,0.17363734630741648,0.04812981685615476
MaxCI,8,False,,50,0.9993290249190945,0.00025844816281146536,7.163817581560328e-05,0.9993067079716103,0.00026541260189838945,7.356861984096895e-05,0.9212246443245016,0.003172023808650881,0.0008792401417114293,22.98,0.1414213562373095,0.0392,78.4,11.907809133814117,3.3006762943372676,87686106.72,96400.04019921256,26720.72787555544,10960763.34,12050.00502490157,3340.09098444443,10583712.113,107571.76716981085,29817.372603757518,0.0,0.0,0.0,0.013836,0.002729408809427358,0.0007565535232883433,0.01405866134752376,0.0026368927220452236,0.0007309093722076955,0.9986612995888975,0.0005067836363742475,0.0001404732571828463,0.998994726581528,0.00038380935133905543,0.00010638652444574522,0.9993290249190945,0.00025844816281144487,7.16381758155976e-05,0.9996641361441292,0.00013055792866883557,3.618881150616605e-05,0.9998319778395357,6.562091563071499e-05,1.818918981661836e-05,0.999966381506436,1.3179694883245532e-05,3.653225037357723e-06
MaxCI,8,True,1.5,50,0.4584647469341386,0.2049341212636767,0.05680484028208439,0.43189707014350537,0.20282095036293935,0.05621909919238715,0.4457290436485081,0.1901002477498896,0.05269310032136234,27.788999999999977,8.099479008188231,2.245061040061052,799.12,1213.8200054844563,336.45373995103694,91215164.47617188,2177838.8369154646,603666.1270864246,11401895.559521485,272229.8546144331,75458.26588580308,2014890.9652656252,1819113.0868861703,504232.42219710245,0.0,0.0,0.0,0.533855,0.17420192987578806,0.04828631143709364,0.5584952393739069,0.1754458230850134,0.048631101043833176,0.3805528760653085,0.17591637733550208,0.04876153202759635,0.40776108147323364,0.18872710832416753,0.05231248549118082,0.4584647469341386,0.20493412126367672,0.0568048402820844,0.5771414387264001,0.21381801070724774,0.059267328801877774,0.711747630129974,0.188688069499135,0.052301664480960075,0.9219309805254149,0.06781993750453927,0.018798727581970168
MaxCI,8,True,2.0,50,0.3739029376282796,0.18435261503752054,0.05109993781522151,0.35068190555899476,0.1788945795899507,0.0495870475754637,0.36630223090838676,0.17345383433066003,0.04807894993138293,24.59599999999991,10.0615951995289,2.7889319004952324,1444.96,1604.0823170897434,444.62893372627025,92411786.16137023,2371128.1967599797,657243.2041807119,11551473.27017128,296391.02459499746,82155.40052258899,1169973.0433213196,1422191.0686343575,394211.25191952434,0.06,0.3136356914300021,0.0869353782990561,0.6160840000000001,0.16475275087976218,0.04566713264755736,0.6388120859391718,0.1627611890157109,0.04511509986306188,0.31329735456872293,0.15072598679341914,0.04177911200616299,0.33386027865630624,0.16399007801936083,0.045455730516202004,0.3739029376282796,0.18435261503752048,0.05109993781522149,0.47659713179849356,0.21047374302267868,0.058340345093595945,0.6126114289685917,0.20686151036303768,0.05733908528372452,0.8758820786302767,0.10247219625677524,0.028403843663647853
MaxCI,8,True,2.5,50,0.31903442365020834,0.1618254178744161,0.04485571733615977,0.2988407936575728,0.15510407822804717,0.042992657037858435,0.31414391729675895,0.15368902938101278,0.04260042550876273,21.82899999999998,10.44161654737662,2.894268443942272,1964.5,1996.650922961564,553.4433996570923,93339778.25717728,2381695.092701637,660172.1983010758,11667472.28214716,297711.88658770465,82521.52478763448,705329.0954199219,1074442.0079582464,297820.13008903485,0.42,1.0119691856242765,0.28050354721464754,0.671603,0.15010306082278052,0.0416064457363808,0.6920618101192769,0.14626326417228996,0.040542108406404605,0.27111832555435966,0.1291454459942456,0.03579729128378171,0.28704692653952074,0.1413994511871851,0.039193928229881804,0.31903442365020834,0.1618254178744161,0.04485571733615977,0.406306128628209,0.1965458044595211,0.054479717489660275,0.5338329996130625,0.20981221752493834,0.05815697958076699,0.8138975643495772,0.16059871760231278,0.04451569336845182
MaxCI,8,True,3.0,50,0.2813739962211036,0.14217009822929433,0.0394075406916375,0.2637980257799055,0.13505895625905065,0.037436432701654795,0.27806663875761956,0.13591326889009495,0.03767323608148337,19.247999999999994,10.517899999912688,2.9154131382018575,2180.96,1872.0930331845047,518.9177140805274,94033730.06950332,2290457.115751275,634882.3213573653,11754216.258687915,286307.13946890936,79360.29016967067,440295.8957767944,800578.6169750069,221909.07102290218,0.82,1.5608736433844492,0.43265210042249874,0.7106509999999999,0.13503247823227943,0.037429093367080106,0.728858943335976,0.1300912670405185,0.03605945950222024,0.24273915236108368,0.11206089030192723,0.03106169405181147,0.25539924307528855,0.1230277413002375,0.034101550057805186,0.28137399622110354,0.14217009822929433,0.0394075406916375,0.3556679852914479,0.1798636365570559,0.049855656462559794,0.47185062935131306,0.2047893137978895,0.056764701700402764,0.7542971104143135,0.19507621252247043,0.05407236738734816
MaxCI,8,True,3.5,50,0.25484557424237186,0.1265896307241333,0.035088855434670746,0.23937392689445008,0.11955478723689275,0.033138896305180535,0.2524738853944742,0.12171351302940052,0.033737264566649515,16.448999999999977,10.620275612319716,2.9437902101882223,2314.4,1856.5553686154083,514.6108931921283,94548489.49578825,2150002.4057509527,595950.2620241647,11818561.18697353,268750.3007188691,74493.78275302058,279265.76630175783,591282.9406205723,163895.26934978992,1.18,1.803511314415435,0.49990783150496854,0.7387510000000002,0.121754553717799,0.0337486404650854,0.755055289612483,0.1162671593536017,0.032227612348825645,0.22318607845866048,0.09954689680696585,0.027592992025086947,0.23346359753238727,0.10922249739671332,0.03027493167839964,0.25484557424237186,0.12658963072413326,0.03508885543467073,0.31837462068800393,0.16389396934010325,0.04542909054945911,0.42352695723515793,0.1959614634896382,0.05431774643642718,0.7025163687418684,0.21230762790445976,0.05884867204843852
